payment_id,order_id,payment_method,payment_status,payment_date
1,1,Debit Card,Completed,2024-03-02
2,2,Debit Card,Completed,2024-03-04
3,3,Credit Card,Pending,2024-03-30
4,4,Credit Card,Pending,2024-05-05
5,5,Debit Card,Pending,2024-02-08
6,6,UPI,Pending,2024-04-03
7,7,Bank Transfer,Pending,2024-07-11
8,8,UPI,Pending,2024-03-17
9,9,PayPal,Completed,2024-01-24
10,10,Bank Transfer,Failed,2024-04-14
11,11,Bank Transfer,Completed,2024-01-19
12,12,Credit Card,Failed,2024-05-13
13,13,Debit Card,Completed,2024-03-14
14,14,PayPal,Failed,2024-03-14
15,15,UPI,Completed,2024-01-27
16,16,Credit Card,Pending,2024-07-19
17,17,Debit Card,Pending,2024-04-24
18,18,Credit Card,Completed,2024-04-09
19,19,Debit Card,Completed,2024-04-14
20,20,Credit Card,Failed,2024-06-13
21,21,UPI,Pending,2024-03-18
22,22,Debit Card,Failed,2024-01-20
23,23,UPI,Completed,2024-02-10
24,24,Bank Transfer,Failed,2024-03-08
25,25,Bank Transfer,Pending,2024-01-06
26,26,Bank Transfer,Completed,2024-03-09
27,27,Debit Card,Pending,2024-07-18
28,28,Debit Card,Completed,2024-01-16
29,29,Credit Card,Completed,2024-04-08
30,30,Credit Card,Failed,2024-01-24
31,31,Credit Card,Pending,2024-05-22
32,32,Bank Transfer,Completed,2024-01-20
33,33,PayPal,Completed,2024-02-03
34,34,PayPal,Pending,2024-04-01
35,35,UPI,Completed,2024-07-16
36,36,PayPal,Failed,2024-04-09
37,37,Debit Card,Completed,2024-04-24
38,38,UPI,Failed,2024-01-01
39,39,Bank Transfer,Pending,2024-01-08
40,40,Credit Card,Completed,2024-05-14
41,41,UPI,Pending,2024-01-24
42,42,PayPal,Completed,2024-02-02
43,43,Credit Card,Failed,2024-04-22
44,44,Debit Card,Completed,2024-03-20
45,45,Debit Card,Failed,2024-06-30
46,46,Credit Card,Pending,2024-06-11
47,47,UPI,Completed,2024-03-29
48,48,Bank Transfer,Failed,2024-07-19
49,49,Bank Transfer,Failed,2024-07-06
50,50,PayPal,Failed,2024-03-20
51,51,Credit Card,Pending,2024-04-28
52,52,UPI,Pending,2024-01-27
53,53,PayPal,Pending,2024-02-01
54,54,Debit Card,Pending,2024-04-08
55,55,Credit Card,Pending,2024-03-10
56,56,Credit Card,Failed,2024-01-27
57,57,Bank Transfer,Failed,2024-01-23
58,58,Debit Card,Failed,2024-03-03
59,59,Debit Card,Pending,2024-01-21
60,60,Bank Transfer,Pending,2024-06-18
61,61,Debit Card,Failed,2024-03-22
62,62,Debit Card,Failed,2024-07-17
63,63,Bank Transfer,Pending,2024-03-06
64,64,PayPal,Completed,2024-06-05
65,65,UPI,Failed,2024-02-12
66,66,PayPal,Pending,2024-07-08
67,67,UPI,Failed,2024-01-06
68,68,Debit Card,Completed,2024-06-22
69,69,Debit Card,Pending,2024-01-12
70,70,Bank Transfer,Pending,2024-05-12
71,71,Debit Card,Pending,2024-05-19
72,72,Credit Card,Pending,2024-04-07
73,73,UPI,Failed,2024-03-02
74,74,UPI,Pending,2024-02-15
75,75,UPI,Completed,2024-03-25
76,76,Bank Transfer,Completed,2024-02-10
77,77,Debit Card,Failed,2024-01-06
78,78,Bank Transfer,Pending,2024-06-20
79,79,PayPal,Failed,2024-07-01
80,80,Credit Card,Completed,2024-04-22
81,81,UPI,Failed,2024-06-01
82,82,Debit Card,Completed,2024-06-14
83,83,Credit Card,Completed,2024-06-10
84,84,Credit Card,Pending,2024-01-07
85,85,UPI,Failed,2024-07-17
86,86,PayPal,Pending,2024-06-14
87,87,PayPal,Completed,2024-03-29
88,88,Bank Transfer,Completed,2024-04-11
89,89,Credit Card,Pending,2024-01-10
90,90,PayPal,Failed,2024-05-20
91,91,PayPal,Pending,2024-04-09
92,92,Bank Transfer,Completed,2024-02-24
93,93,Debit Card,Failed,2024-06-24
94,94,Bank Transfer,Pending,2024-03-12
95,95,Credit Card,Completed,2024-06-16
96,96,Credit Card,Failed,2024-04-10
97,97,Bank Transfer,Pending,2024-02-20
98,98,Debit Card,Failed,2024-04-11
99,99,Bank Transfer,Completed,2024-01-31
100,100,PayPal,Pending,2024-06-29
101,101,Debit Card,Failed,2024-01-02
102,102,Bank Transfer,Failed,2024-06-02
103,103,UPI,Completed,2024-03-15
104,104,UPI,Completed,2024-06-21
105,105,PayPal,Pending,2024-05-03
106,106,Credit Card,Completed,2024-05-29
107,107,Credit Card,Failed,2024-02-29
108,108,Credit Card,Failed,2024-06-12
109,109,Credit Card,Failed,2024-01-14
110,110,Bank Transfer,Failed,2024-05-26
111,111,Debit Card,Pending,2024-05-08
112,112,Credit Card,Failed,2024-01-27
113,113,Bank Transfer,Completed,2024-01-15
114,114,Debit Card,Failed,2024-06-26
115,115,UPI,Pending,2024-01-06
116,116,Credit Card,Failed,2024-01-06
117,117,UPI,Pending,2024-04-17
118,118,Bank Transfer,Completed,2024-02-29
119,119,Credit Card,Completed,2024-01-09
120,120,PayPal,Pending,2024-05-25
121,121,Bank Transfer,Pending,2024-03-05
122,122,Credit Card,Failed,2024-02-02
123,123,PayPal,Pending,2024-05-11
124,124,Debit Card,Failed,2024-04-26
125,125,Credit Card,Failed,2024-02-21
126,126,Credit Card,Failed,2024-03-14
127,127,Debit Card,Pending,2024-06-17
128,128,Bank Transfer,Completed,2024-04-04
129,129,PayPal,Failed,2024-06-19
130,130,Debit Card,Pending,2024-02-12
131,131,Credit Card,Completed,2024-06-13
132,132,Credit Card,Completed,2024-03-07
133,133,Bank Transfer,Completed,2024-01-29
134,134,Bank Transfer,Pending,2024-02-11
135,135,UPI,Failed,2024-03-27
136,136,PayPal,Completed,2024-05-04
137,137,PayPal,Failed,2024-02-19
138,138,Bank Transfer,Pending,2024-04-18
139,139,PayPal,Pending,2024-03-31
140,140,PayPal,Pending,2024-03-24
141,141,Debit Card,Pending,2024-07-11
142,142,Bank Transfer,Failed,2024-01-29
143,143,Credit Card,Failed,2024-06-05
144,144,UPI,Failed,2024-03-23
145,145,Credit Card,Pending,2024-01-10
146,146,PayPal,Pending,2024-04-13
147,147,PayPal,Pending,2024-03-10
148,148,UPI,Completed,2024-03-18
149,149,PayPal,Pending,2024-03-15
150,150,Debit Card,Failed,2024-06-30
151,151,Bank Transfer,Pending,2024-06-21
152,152,UPI,Pending,2024-01-22
153,153,Bank Transfer,Pending,2024-05-21
154,154,Bank Transfer,Failed,2024-06-05
155,155,Bank Transfer,Failed,2024-01-11
156,156,Bank Transfer,Pending,2024-06-07
157,157,UPI,Completed,2024-03-19
158,158,Credit Card,Failed,2024-01-30
159,159,PayPal,Completed,2024-03-27
160,160,Debit Card,Failed,2024-02-19
161,161,Debit Card,Failed,2024-01-11
162,162,Debit Card,Pending,2024-05-06
163,163,UPI,Failed,2024-01-30
164,164,Credit Card,Pending,2024-05-22
165,165,Credit Card,Pending,2024-05-22
166,166,Debit Card,Completed,2024-07-17
167,167,Debit Card,Completed,2024-01-18
168,168,Credit Card,Pending,2024-01-22
169,169,Credit Card,Completed,2024-01-05
170,170,Bank Transfer,Failed,2024-06-23
171,171,Debit Card,Completed,2024-05-01
172,172,Debit Card,Completed,2024-06-11
173,173,Credit Card,Completed,2024-04-22
174,174,Bank Transfer,Failed,2024-03-02
175,175,Credit Card,Failed,2024-07-15
176,176,Bank Transfer,Pending,2024-05-15
177,177,PayPal,Pending,2024-03-04
178,178,Debit Card,Pending,2024-03-13
179,179,PayPal,Pending,2024-04-28
180,180,UPI,Completed,2024-04-23
181,181,UPI,Failed,2024-01-30
182,182,UPI,Completed,2024-05-13
183,183,Debit Card,Completed,2024-06-15
184,184,PayPal,Failed,2024-03-30
185,185,PayPal,Pending,2024-02-04
186,186,Credit Card,Pending,2024-02-20
187,187,Credit Card,Completed,2024-03-04
188,188,Credit Card,Completed,2024-02-02
189,189,Credit Card,Failed,2024-06-19
190,190,Credit Card,Failed,2024-05-06
191,191,Bank Transfer,Failed,2024-04-20
192,192,PayPal,Pending,2024-06-18
193,193,PayPal,Completed,2024-04-22
194,194,Debit Card,Failed,2024-06-02
195,195,Debit Card,Completed,2024-04-10
196,196,UPI,Failed,2024-06-17
197,197,UPI,Pending,2024-01-25
198,198,Debit Card,Completed,2024-06-23
199,199,Credit Card,Pending,2024-04-07
200,200,UPI,Failed,2024-02-10
201,201,UPI,Failed,2024-04-10
202,202,Bank Transfer,Pending,2024-02-05
203,203,Debit Card,Failed,2024-03-23
204,204,Bank Transfer,Completed,2024-05-25
205,205,Bank Transfer,Failed,2024-05-13
206,206,Bank Transfer,Failed,2024-03-05
207,207,UPI,Completed,2024-06-01
208,208,UPI,Failed,2024-02-25
209,209,Debit Card,Failed,2024-05-14
210,210,Credit Card,Failed,2024-03-24
211,211,UPI,Pending,2024-06-09
212,212,Debit Card,Failed,2024-07-05
213,213,Credit Card,Failed,2024-03-28
214,214,Debit Card,Failed,2024-04-14
215,215,Credit Card,Pending,2024-02-25
216,216,Bank Transfer,Completed,2024-05-05
217,217,PayPal,Failed,2024-06-21
218,218,PayPal,Completed,2024-07-04
219,219,Debit Card,Failed,2024-06-17
220,220,Debit Card,Completed,2024-05-07
221,221,UPI,Failed,2024-04-15
222,222,PayPal,Completed,2024-04-06
223,223,UPI,Failed,2024-01-12
224,224,PayPal,Pending,2024-05-07
225,225,Debit Card,Pending,2024-07-15
226,226,Credit Card,Completed,2024-05-16
227,227,PayPal,Pending,2024-06-25
228,228,PayPal,Completed,2024-05-19
229,229,Credit Card,Completed,2024-03-30
230,230,Debit Card,Pending,2024-01-09
231,231,PayPal,Failed,2024-07-12
232,232,Bank Transfer,Completed,2024-05-04
233,233,Credit Card,Failed,2024-05-31
234,234,UPI,Completed,2024-01-03
235,235,Debit Card,Failed,2024-07-13
236,236,Debit Card,Pending,2024-04-12
237,237,Bank Transfer,Completed,2024-01-01
238,238,PayPal,Completed,2024-02-11
239,239,Debit Card,Failed,2024-01-26
240,240,PayPal,Pending,2024-05-26
241,241,UPI,Pending,2024-04-23
242,242,Credit Card,Pending,2024-05-18
243,243,UPI,Pending,2024-03-13
244,244,Bank Transfer,Pending,2024-03-29
245,245,Credit Card,Pending,2024-06-23
246,246,UPI,Pending,2024-05-11
247,247,UPI,Pending,2024-06-13
248,248,Credit Card,Completed,2024-06-12
249,249,Bank Transfer,Failed,2024-03-29
250,250,UPI,Completed,2024-01-03
251,251,Credit Card,Pending,2024-01-29
252,252,Bank Transfer,Pending,2024-03-08
253,253,Credit Card,Completed,2024-03-22
254,254,Bank Transfer,Completed,2024-02-05
255,255,PayPal,Failed,2024-03-30
256,256,Bank Transfer,Pending,2024-02-22
257,257,PayPal,Failed,2024-03-11
258,258,Credit Card,Pending,2024-01-28
259,259,UPI,Pending,2024-03-15
260,260,Bank Transfer,Pending,2024-03-24
261,261,Debit Card,Completed,2024-01-19
262,262,Debit Card,Completed,2024-01-22
263,263,Debit Card,Failed,2024-05-24
264,264,Bank Transfer,Failed,2024-01-17
265,265,UPI,Completed,2024-07-06
266,266,UPI,Pending,2024-04-08
267,267,Credit Card,Pending,2024-05-14
268,268,UPI,Completed,2024-03-27
269,269,Debit Card,Pending,2024-05-14
270,270,Credit Card,Completed,2024-04-19
271,271,UPI,Pending,2024-05-04
272,272,Bank Transfer,Failed,2024-04-11
273,273,PayPal,Pending,2024-06-10
274,274,Credit Card,Pending,2024-07-07
275,275,Bank Transfer,Completed,2024-03-29
276,276,Credit Card,Pending,2024-03-04
277,277,PayPal,Pending,2024-02-09
278,278,Debit Card,Pending,2024-06-24
279,279,PayPal,Failed,2024-05-24
280,280,UPI,Pending,2024-06-23
281,281,UPI,Completed,2024-06-03
282,282,Credit Card,Pending,2024-05-04
283,283,Debit Card,Completed,2024-04-13
284,284,Debit Card,Failed,2024-02-17
285,285,Debit Card,Completed,2024-03-05
286,286,Credit Card,Completed,2024-05-11
287,287,PayPal,Failed,2024-07-13
288,288,UPI,Pending,2024-07-05
289,289,Credit Card,Completed,2024-01-13
290,290,Credit Card,Pending,2024-04-05
291,291,Credit Card,Completed,2024-01-24
292,292,Debit Card,Failed,2024-05-16
293,293,PayPal,Failed,2024-06-09
294,294,Bank Transfer,Completed,2024-07-06
295,295,Credit Card,Completed,2024-01-18
296,296,Bank Transfer,Failed,2024-02-29
297,297,Debit Card,Pending,2024-02-06
298,298,Debit Card,Pending,2024-05-14
299,299,PayPal,Failed,2024-01-20
300,300,Debit Card,Completed,2024-02-08
301,301,Debit Card,Completed,2024-07-12
302,302,UPI,Pending,2024-05-17
303,303,Bank Transfer,Failed,2024-02-16
304,304,Credit Card,Failed,2024-04-15
305,305,Debit Card,Completed,2024-05-26
306,306,Bank Transfer,Failed,2024-03-03
307,307,Bank Transfer,Failed,2024-06-15
308,308,Debit Card,Failed,2024-02-12
309,309,Bank Transfer,Pending,2024-03-25
310,310,PayPal,Pending,2024-03-11
311,311,PayPal,Pending,2024-01-10
312,312,Credit Card,Failed,2024-07-19
313,313,Bank Transfer,Pending,2024-02-23
314,314,Debit Card,Pending,2024-02-14
315,315,Bank Transfer,Pending,2024-03-18
316,316,Debit Card,Failed,2024-04-04
317,317,Credit Card,Failed,2024-05-17
318,318,PayPal,Failed,2024-05-13
319,319,Debit Card,Pending,2024-05-26
320,320,UPI,Failed,2024-06-22
321,321,Bank Transfer,Failed,2024-05-08
322,322,Credit Card,Pending,2024-06-18
323,323,Bank Transfer,Completed,2024-02-06
324,324,Bank Transfer,Pending,2024-05-13
325,325,PayPal,Pending,2024-02-22
326,326,Credit Card,Pending,2024-01-07
327,327,PayPal,Completed,2024-04-09
328,328,Bank Transfer,Completed,2024-03-03
329,329,UPI,Failed,2024-04-23
330,330,Bank Transfer,Failed,2024-05-24
331,331,Debit Card,Pending,2024-07-16
332,332,Credit Card,Completed,2024-01-18
333,333,PayPal,Pending,2024-05-21
334,334,Credit Card,Pending,2024-02-24
335,335,PayPal,Failed,2024-07-12
336,336,Debit Card,Pending,2024-02-10
337,337,PayPal,Failed,2024-06-16
338,338,Credit Card,Failed,2024-03-05
339,339,Debit Card,Pending,2024-01-02
340,340,Debit Card,Pending,2024-01-30
341,341,PayPal,Completed,2024-07-02
342,342,Credit Card,Pending,2024-04-21
343,343,PayPal,Failed,2024-05-20
344,344,Credit Card,Pending,2024-07-13
345,345,Credit Card,Pending,2024-01-16
346,346,PayPal,Completed,2024-03-25
347,347,PayPal,Pending,2024-03-07
348,348,Debit Card,Failed,2024-05-24
349,349,PayPal,Failed,2024-03-21
350,350,Credit Card,Pending,2024-06-07
